type,long_name,medium,short,scope,activist
NGP 7,NCOA_2015-10-26,NCOA_2015,NCO,Private,0
NGP 7,NCOAUp2,NCOAUp2,NCO,Private,0
NGP 7,NCOAUpdate,NCOAUpdat,NCO,Private,0
NGP 7,NGP Delete,NGP Delet,NGP,Private,0
NGP 7,NGPClPhone,NGPClPhon,NGP,Private,0
NGP 7,NGPDDCmbnd,NGPDDCmbn,NGP,Private,0
NGP 7,NGPHmPhone,NGPHmPhon,NGP,Private,0
NGP 7,NGPHoushld,NGPHoushl,NGP,Private,0
NGP 7,NGP-PrimarytoGeneral,NGP-Prima,NGP,Private,0
Organization,Maricopa Comm Counci,MCC,MCC,Public,1
Profession,AZEL,AZEL,AZE,Private,0
Profession,AZLB,AZLB,AZL,Private,0
Profession,BFS,BFS,BFS,Private,0
Profession,BUS,BUS,BUS,Private,0
Profession,COM,COM,COM,Private,0
Profession,Corp,Corp,Cor,Private,0
Profession,CU,CU,CU,Private,0
Profession,DEF,DEF,DEF,Private,0
Profession,EDU,EDU,EDU,Private,0
Profession,ELAZ,ELAZ,ELA,Private,0
Profession,Elected Official,Elected O,Ele,Private,0
Profession,ENV,ENV,ENV,Private,0
Profession,HEA,HEA,HEA,Private,0
Profession,HOUS,HOUS,HOU,Private,0
Profession,INS,INS,INS,Private,0
Profession,LAB,LAB,LAB,Private,0
Profession,LAW,LAW,LAW,Private,0
Profession,RE,RE,RE,Private,0
Profession,SCI,SCI,SCI,Private,0
Profession,SOL,SOL,SOL,Private,0
Profession,SS,SS,SS,Private,0
Profession,Tribe,Tribe,Tri,Private,0
Profession,UNYN,UNYN,UNY,Private,0
Volunteer,2020Volunteer,2020Volun,202,Private,0
Volunteer,22PledgetoVote,22PVote,PV,Public,1
Volunteer,AAA Notary,AAA Notar,Not,Public,1
Volunteer,Candidate,Cand,Can,Public,1
Volunteer,Candidate Volunteer,CanVol,CV,Public,0
Volunteer,Collect signatures,Collect s,Col,Public,1
Volunteer,Data Entry,DatEnt,DE,Public,0
Volunteer,Email Signup,EmailSign,Eml,Public,0
Volunteer,EventSupport,EventSupp,Eve,Public,1
Volunteer,General Volunteer,GenVol,Gen,Public,1
Volunteer,Hosted,Hosted,Hos,Public,1
Volunteer,HouseParty,HousePart,Hou,Public,1
Volunteer,Mailings Postcards,mail/post,MlP,Public,1
Volunteer,Office Volunteer,offvol,ov,Public,0
Volunteer,Phonebank,Phonebank,Pho,Public,1
Volunteer,Recruit new members,RecMember,RcM,Public,1
Volunteer,VolCoordinator,VolCoordi,Vol,Public,1
Volunteer,VolFundraising,VolFundra,Vol,Public,1
Volunteer,VolOfficeAsst,VolOffice,Vol,Public,1
Volunteer,VolResearch,VolResear,Vol,Public,1
Volunteer,Walk,Walk,Wal,Public,1
Volunteer,Web work,Web work,Web,Public,1
Volunteer,Weekday,wkday,wkd,Public,1
Volunteer,Weekends,Wkend,WkE,Public,1
Volunteer,Weeknight,Wknight,Wnt,Public,1
